model,status,reason,elapsed_seconds,global_timeout_seconds,num_predict,recommended_timeout_seconds,response_len,thinking_len,done_reason,eval_count,move_or_thinking_move,response_json,smoke_run_dir,note,smoke_output
"llama3-groq-tool-use:8b",pass,visible_legal_uci,136,360,256,170,4,0,stop,5,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102624/llama3-groq-tool-use_8b.response.json,"/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102624",,"testing llama3-groq-tool-use:8b summary_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102624/summary.csv run_dir=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102624 passed=1 failed=0 failures_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102624/failures.csv"
"qwen3:8b",fail,curl_error,361,360,256,,0,0,,,,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102840/qwen3_8b.response.json,"/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102840","curl: (28) Operation timed out after 360002 milliseconds with 0 bytes received ","testing qwen3:8b summary_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102840/summary.csv run_dir=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102840 passed=0 failed=1 failures_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102840/failures.csv"
"nemotron-3-nano:4b",pass,visible_legal_uci,154,360,256,193,4,346,stop,129,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103441/nemotron-3-nano_4b.response.json,"/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103441",,"testing nemotron-3-nano:4b summary_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103441/summary.csv run_dir=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103441 passed=1 failed=0 failures_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103441/failures.csv"
"gemma3:4b",pass,visible_legal_uci,61,360,256,91,4,0,stop,6,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103715/gemma3_4b.response.json,"/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103715",,"testing gemma3:4b summary_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103715/summary.csv run_dir=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103715 passed=1 failed=0 failures_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103715/failures.csv"
"llama3.2:3b",pass,visible_legal_uci,41,360,256,71,4,0,stop,5,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103817/llama3.2_3b.response.json,"/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103817",,"testing llama3.2:3b summary_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103817/summary.csv run_dir=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103817 passed=1 failed=0 failures_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103817/failures.csv"
"mistral:latest",pass,visible_legal_uci,273,360,256,342,5,0,stop,5,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103858/mistral_latest.response.json,"/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103858",,"testing mistral:latest summary_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103858/summary.csv run_dir=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103858 passed=1 failed=0 failures_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103858/failures.csv"
"phi4-mini:latest",fail,no_legal_visible_uci,45,360,256,,4,0,stop,5,,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104332/phi4-mini_latest.response.json,"/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104332",,"testing phi4-mini:latest summary_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104332/summary.csv run_dir=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104332 passed=0 failed=1 failures_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104332/failures.csv"
"phi3:mini",pass,visible_legal_uci,42,360,256,72,4,0,stop,5,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104417/phi3_mini.response.json,"/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104417",,"testing phi3:mini summary_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104417/summary.csv run_dir=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104417 passed=1 failed=0 failures_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104417/failures.csv"
"tinyllama:latest",pass,visible_legal_uci,19,360,256,49,150,0,stop,67,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104500/tinyllama_latest.response.json,"/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104500",,"testing tinyllama:latest summary_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104500/summary.csv run_dir=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104500 passed=1 failed=0 failures_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104500/failures.csv"
"gemma3:1b",pass,visible_legal_uci,14,360,256,44,4,0,stop,5,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104519/gemma3_1b.response.json,"/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104519",,"testing gemma3:1b summary_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104519/summary.csv run_dir=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104519 passed=1 failed=0 failures_csv=/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104519/failures.csv"
