model,provider,api_surface,registration_timeout_seconds,registration_num_predict,last_elapsed_seconds,last_reason,move_or_thinking_move,response_json
"llama3-groq-tool-use:8b",ollama,generate,170,256,136,visible_legal_uci,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_102624/llama3-groq-tool-use_8b.response.json
"nemotron-3-nano:4b",ollama,generate,193,256,154,visible_legal_uci,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103441/nemotron-3-nano_4b.response.json
"gemma3:4b",ollama,generate,91,256,61,visible_legal_uci,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103715/gemma3_4b.response.json
"llama3.2:3b",ollama,generate,71,256,41,visible_legal_uci,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103817/llama3.2_3b.response.json
"mistral:latest",ollama,generate,342,256,273,visible_legal_uci,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_103858/mistral_latest.response.json
"phi3:mini",ollama,generate,72,256,42,visible_legal_uci,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104417/phi3_mini.response.json
"tinyllama:latest",ollama,generate,49,256,19,visible_legal_uci,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104500/tinyllama_latest.response.json
"gemma3:1b",ollama,generate,44,256,14,visible_legal_uci,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104519/gemma3_1b.response.json
"gemma3:270m",ollama,generate,34,256,4,visible_legal_uci,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104550/gemma3_270m.response.json
"smollm2:135m",ollama,generate,37,256,7,visible_legal_uci,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104554/smollm2_135m.response.json
"qwen2.5:0.5b",ollama,generate,38,256,8,visible_legal_uci,e2e3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104602/qwen2.5_0.5b.response.json
"granite4:3b",ollama,generate,71,256,41,visible_legal_uci,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104610/granite4_3b.response.json
"qwen2.5:latest",ollama,generate,268,256,214,visible_legal_uci,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_104651/qwen2.5_latest.response.json
"qwen2.5-coder:3b",ollama,generate,71,256,41,visible_legal_uci,a2a3,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_105025/qwen2.5-coder_3b.response.json
"qwen:4b",ollama,generate,71,256,41,visible_legal_uci,e2e4,/home/sag/RPA2/myLLC/AI/brilliance/aih/aichess/v5/standalone_registration_timeouts/20260815_102624/smoke_runs/20260815_105106/qwen_4b.response.json
