run_id,timestamp_utc,agent_key,model,certification_id,class_id,component_query,component_count,component_pass_count,pass_rate,pass_fail,threshold,notes
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,Class 3.general_floor_v1,Class 3.general_floor_v1,class_name='Class1' AND level='0',6,0,0.0000,fail,0.80,Level 0 across general areas
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,Class 3.k6_general_v1,Class 3.k6_general_v1,class_name='Class1' AND level BETWEEN 1 AND 6,36,0,0.0000,fail,0.70,K-6 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,Class 3.grade12_general_v1,Class 3.grade12_general_v1,class_name='Class1' AND level BETWEEN 7 AND 12,36,0,0.0000,fail,0.70,7-12 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,Class 3.chess_entry_v1,Class 3.chess_entry_v1,class_name='Class2' AND area_name='chess',1,0,0.0000,fail,1.00,Class2 chess entry certification
aih_v2_eval_20260725T035542Z,20260725T035542Z,11,granite4:3b,Class 3.game_agent_basic_v1,Class 3.game_agent_basic_v1,Class1 level 0 plus Class2 chess,7,0,0.0000,fail,0.80,Class1 floor plus chess entry
aih_v2_eval_20260725T035542Z,20260725T035542Z,12,qwen2.5-coder:3b,Class 3.general_floor_v1,Class 3.general_floor_v1,class_name='Class1' AND level='0',6,0,0.0000,fail,0.80,Level 0 across general areas
aih_v2_eval_20260725T035542Z,20260725T035542Z,12,qwen2.5-coder:3b,Class 3.k6_general_v1,Class 3.k6_general_v1,class_name='Class1' AND level BETWEEN 1 AND 6,36,0,0.0000,fail,0.70,K-6 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,12,qwen2.5-coder:3b,Class 3.grade12_general_v1,Class 3.grade12_general_v1,class_name='Class1' AND level BETWEEN 7 AND 12,36,0,0.0000,fail,0.70,7-12 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,12,qwen2.5-coder:3b,Class 3.chess_entry_v1,Class 3.chess_entry_v1,class_name='Class2' AND area_name='chess',1,0,0.0000,fail,1.00,Class2 chess entry certification
aih_v2_eval_20260725T035542Z,20260725T035542Z,12,qwen2.5-coder:3b,Class 3.game_agent_basic_v1,Class 3.game_agent_basic_v1,Class1 level 0 plus Class2 chess,7,0,0.0000,fail,0.80,Class1 floor plus chess entry
aih_v2_eval_20260725T035542Z,20260725T035542Z,13,qwen2.5:0.5b,Class 3.general_floor_v1,Class 3.general_floor_v1,class_name='Class1' AND level='0',6,0,0.0000,fail,0.80,Level 0 across general areas
aih_v2_eval_20260725T035542Z,20260725T035542Z,13,qwen2.5:0.5b,Class 3.k6_general_v1,Class 3.k6_general_v1,class_name='Class1' AND level BETWEEN 1 AND 6,36,0,0.0000,fail,0.70,K-6 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,13,qwen2.5:0.5b,Class 3.grade12_general_v1,Class 3.grade12_general_v1,class_name='Class1' AND level BETWEEN 7 AND 12,36,0,0.0000,fail,0.70,7-12 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,13,qwen2.5:0.5b,Class 3.chess_entry_v1,Class 3.chess_entry_v1,class_name='Class2' AND area_name='chess',1,0,0.0000,fail,1.00,Class2 chess entry certification
aih_v2_eval_20260725T035542Z,20260725T035542Z,13,qwen2.5:0.5b,Class 3.game_agent_basic_v1,Class 3.game_agent_basic_v1,Class1 level 0 plus Class2 chess,7,0,0.0000,fail,0.80,Class1 floor plus chess entry
aih_v2_eval_20260725T035542Z,20260725T035542Z,14,qwen2.5:latest,Class 3.general_floor_v1,Class 3.general_floor_v1,class_name='Class1' AND level='0',6,0,0.0000,fail,0.80,Level 0 across general areas
aih_v2_eval_20260725T035542Z,20260725T035542Z,14,qwen2.5:latest,Class 3.k6_general_v1,Class 3.k6_general_v1,class_name='Class1' AND level BETWEEN 1 AND 6,36,0,0.0000,fail,0.70,K-6 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,14,qwen2.5:latest,Class 3.grade12_general_v1,Class 3.grade12_general_v1,class_name='Class1' AND level BETWEEN 7 AND 12,36,0,0.0000,fail,0.70,7-12 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,14,qwen2.5:latest,Class 3.chess_entry_v1,Class 3.chess_entry_v1,class_name='Class2' AND area_name='chess',1,0,0.0000,fail,1.00,Class2 chess entry certification
aih_v2_eval_20260725T035542Z,20260725T035542Z,14,qwen2.5:latest,Class 3.game_agent_basic_v1,Class 3.game_agent_basic_v1,Class1 level 0 plus Class2 chess,7,0,0.0000,fail,0.80,Class1 floor plus chess entry
aih_v2_eval_20260725T035542Z,20260725T035542Z,15,qwen:4b,Class 3.general_floor_v1,Class 3.general_floor_v1,class_name='Class1' AND level='0',6,0,0.0000,fail,0.80,Level 0 across general areas
aih_v2_eval_20260725T035542Z,20260725T035542Z,15,qwen:4b,Class 3.k6_general_v1,Class 3.k6_general_v1,class_name='Class1' AND level BETWEEN 1 AND 6,36,0,0.0000,fail,0.70,K-6 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,15,qwen:4b,Class 3.grade12_general_v1,Class 3.grade12_general_v1,class_name='Class1' AND level BETWEEN 7 AND 12,36,0,0.0000,fail,0.70,7-12 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,15,qwen:4b,Class 3.chess_entry_v1,Class 3.chess_entry_v1,class_name='Class2' AND area_name='chess',1,0,0.0000,fail,1.00,Class2 chess entry certification
aih_v2_eval_20260725T035542Z,20260725T035542Z,15,qwen:4b,Class 3.game_agent_basic_v1,Class 3.game_agent_basic_v1,Class1 level 0 plus Class2 chess,7,0,0.0000,fail,0.80,Class1 floor plus chess entry
aih_v2_eval_20260725T035542Z,20260725T035542Z,16,robit/qwen3.5-9b-r7-research:q4km,Class 3.general_floor_v1,Class 3.general_floor_v1,class_name='Class1' AND level='0',6,0,0.0000,fail,0.80,Level 0 across general areas
aih_v2_eval_20260725T035542Z,20260725T035542Z,16,robit/qwen3.5-9b-r7-research:q4km,Class 3.k6_general_v1,Class 3.k6_general_v1,class_name='Class1' AND level BETWEEN 1 AND 6,36,0,0.0000,fail,0.70,K-6 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,16,robit/qwen3.5-9b-r7-research:q4km,Class 3.grade12_general_v1,Class 3.grade12_general_v1,class_name='Class1' AND level BETWEEN 7 AND 12,36,0,0.0000,fail,0.70,7-12 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,16,robit/qwen3.5-9b-r7-research:q4km,Class 3.chess_entry_v1,Class 3.chess_entry_v1,class_name='Class2' AND area_name='chess',1,0,0.0000,fail,1.00,Class2 chess entry certification
aih_v2_eval_20260725T035542Z,20260725T035542Z,16,robit/qwen3.5-9b-r7-research:q4km,Class 3.game_agent_basic_v1,Class 3.game_agent_basic_v1,Class1 level 0 plus Class2 chess,7,0,0.0000,fail,0.80,Class1 floor plus chess entry
aih_v2_eval_20260725T035542Z,20260725T035542Z,17,smollm2:135m,Class 3.general_floor_v1,Class 3.general_floor_v1,class_name='Class1' AND level='0',6,0,0.0000,fail,0.80,Level 0 across general areas
aih_v2_eval_20260725T035542Z,20260725T035542Z,17,smollm2:135m,Class 3.k6_general_v1,Class 3.k6_general_v1,class_name='Class1' AND level BETWEEN 1 AND 6,36,0,0.0000,fail,0.70,K-6 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,17,smollm2:135m,Class 3.grade12_general_v1,Class 3.grade12_general_v1,class_name='Class1' AND level BETWEEN 7 AND 12,36,0,0.0000,fail,0.70,7-12 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,17,smollm2:135m,Class 3.chess_entry_v1,Class 3.chess_entry_v1,class_name='Class2' AND area_name='chess',1,0,0.0000,fail,1.00,Class2 chess entry certification
aih_v2_eval_20260725T035542Z,20260725T035542Z,17,smollm2:135m,Class 3.game_agent_basic_v1,Class 3.game_agent_basic_v1,Class1 level 0 plus Class2 chess,7,0,0.0000,fail,0.80,Class1 floor plus chess entry
aih_v2_eval_20260725T035542Z,20260725T035542Z,18,gemma3:270m,Class 3.general_floor_v1,Class 3.general_floor_v1,class_name='Class1' AND level='0',6,0,0.0000,fail,0.80,Level 0 across general areas
aih_v2_eval_20260725T035542Z,20260725T035542Z,18,gemma3:270m,Class 3.k6_general_v1,Class 3.k6_general_v1,class_name='Class1' AND level BETWEEN 1 AND 6,36,0,0.0000,fail,0.70,K-6 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,18,gemma3:270m,Class 3.grade12_general_v1,Class 3.grade12_general_v1,class_name='Class1' AND level BETWEEN 7 AND 12,36,0,0.0000,fail,0.70,7-12 Class1 general capability
aih_v2_eval_20260725T035542Z,20260725T035542Z,18,gemma3:270m,Class 3.chess_entry_v1,Class 3.chess_entry_v1,class_name='Class2' AND area_name='chess',1,0,0.0000,fail,1.00,Class2 chess entry certification
aih_v2_eval_20260725T035542Z,20260725T035542Z,18,gemma3:270m,Class 3.game_agent_basic_v1,Class 3.game_agent_basic_v1,Class1 level 0 plus Class2 chess,7,0,0.0000,fail,0.80,Class1 floor plus chess entry
aih_v2_eval_20260725T035542Z,20260725T035542Z,19,llama3.2:1b,Class 3.general_floor_v1,Class 3.general_floor_v1,class_name='Class1' AND level='0',6,0,0.0000,fail,0.80,Level 0 across general areas
aih_v2_eval_20260725T035542Z,20260725T035542Z,19,llama3.2:1b,Class 3.k6_general_v1,Class 3.k6_general_v1,class_name='Class1' AND level BETWEEN 1 AND 6,36,0,0.0000,fail,0.70,K-6 Class1 general capability
